Molecule,PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,Unnamed: 4,Half-Life in MLM minutes,Binary Classification
[Cl-1].S1C2=C3SC=4C=5N3C36[H].O=C2N2C1=C1C=7[N+1]=8C9%10C%11%12[H].C2%13%14C2%15[H].C=5%16C5=C%17C=4[H].C=74C7=C%18C=8[H].[H]%13.[H]%14.[H]1.[H]3.[H]6.[H]%16.[H]9.[H]%10.[H]2.[H]%15.[H]4.[H]5.[H]%17.[H]7.[H]%18.[H]%11.[H]%12,6444403,"InChI=1S/C21H22N3OS2.ClH/c1-4-23-13-9-8-10-15(23)14-18-24(5-2)20(25)19(27-18)21-22(3)16-11-6-7-12-17(16)26-21;/h6-14H,4-5H2,1-3H3;1H/q+1;/p-1/b21-19+;",VSKYOTRJSLYFHX-UXJRWBAGSA-M,,4.4,0
O1C23C45C67C89C%10%11C%12%13C%14%15C%16%17C8%18OC8=O.O%19OC%20%21OOC%19%22C%14%19[H].O=C1C1%14[H].O=C%23N%24[H].O=C%25N%26[H].C4%27%28C4%29C6%30[H].C2%106[H].C%122%10C%22%12[H].C5%22%31[H].C%275%32C%27%33C%23%34[H].C%13%23%35[H].C5%13%36[H].C85%37[H].C%208%38C%20%39C%25%40C%25%41C%21%42[H].[H]7.[H]9.[H]%11.[H]%28.[H]3.[H]%15.[H]6.[H]%18.[H]%30.[H]4.[H]%29.[H]%16.[H]%17.[H]2.[H]%10.[H]%22.[H]%31.[H]%19.[H]%32.[H]%23.[H]%35.[H]%12.[H]%27.[H]%33.[H]%13.[H]%36.[H]%34.[H]1.[H]%14.[H]5.[H]%37.[H]8.[H]%42.[H]%38.[H]%25.[H]%41.[H]%20.[H]%39.[H]%40.[H]%24.[H]%26,11686124,"InChI=1S/C35H54N2O10/c1-19(6-9-29(36)40)24-7-8-25-30-26(17-28(33(24,25)5)43-21(3)39)32(4)14-15-35(18-23(32)16-27(30)42-20(2)38)46-44-34(45-47-35)12-10-22(11-13-34)31(37)41/h19,22-28,30H,6-18H2,1-5H3,(H2,36,40)(H2,37,41)/t19-,22?,23-,24-,25+,26+,27-,28+,30+,32+,33-,34?,35?/m1/s1",BDEAKWDBQDWAAQ-ORYUWPRUSA-N,,38.0,0
O1C23C45C67C89C%10%11C%12%13C%14%15C%16%17C8%18OC8=O.O%19OC%20%21OOC%19%22C%14%19[H].O=C1C1%14[H].O=C%23N%24C%25%26C%27%28N%29C%30%31[H].O=C%32N%33C%34%35C%36%37N%38C%39%40[H].C4%41%42C4%43C6%44[H].C2%106[H].C%122%10C%22%12[H].C5%22%45[H].C%415%46C%41%47C%23%48[H].C%13%23%49[H].C5%13%50[H].C85%51[H].C%208%52C%20%53C%32%54C%32%55C%21%56[H].C%29%21%57[H].C%38%29%58[H].[H]7.[H]9.[H]%11.[H]%42.[H]3.[H]%15.[H]6.[H]%18.[H]%44.[H]4.[H]%43.[H]%16.[H]%17.[H]2.[H]%10.[H]%22.[H]%45.[H]%19.[H]%46.[H]%23.[H]%49.[H]%12.[H]%41.[H]%47.[H]%13.[H]%50.[H]%48.[H]1.[H]%14.[H]5.[H]%51.[H]8.[H]%52.[H]%56.[H]%32.[H]%55.[H]%20.[H]%53.[H]%54.[H]%24.[H]%25.[H]%26.[H]%27.[H]%28.[H]%33.[H]%34.[H]%35.[H]%36.[H]%37.[H]%21.[H]%57.[H]%30.[H]%31.[H]%39.[H]%40.[H]%29.[H]%58,11571413,"InChI=1S/C43H72N4O10/c1-27(10-13-37(50)44-20-22-46(6)7)32-11-12-33-38-34(25-36(41(32,33)5)53-29(3)49)40(4)18-19-43(26-31(40)24-35(38)52-28(2)48)56-54-42(55-57-43)16-14-30(15-17-42)39(51)45-21-23-47(8)9/h27,30-36,38H,10-26H2,1-9H3,(H,44,50)(H,45,51)/t27-,30?,31-,32-,33+,34+,35-,36+,38+,40+,41-,42?,43?/m1/s1",SBDGPZKXHQPLJY-UEPJFKMZSA-N,,120.0,1
O1C23C45C67C89C%10%11C%12%13C%14%15C%16%17C8%18OC8=O.O%19OC%20%21OOC%19%22C%14%19[H].O=C1C1%14[H].O=C%23N%24C%25=C%26C%27=C%28C%29=C%25[H].O=C%25N%30C%31=C%32C%33=C%34C%35=C%31[H].C4%31%36C4%37C6%38[H].C2%106[H].C%122%10C%22%12[H].C5%22%39[H].C%315%40C%31%41C%23%42[H].C%13%23%43[H].C5%13%44[H].C85%45[H].C%208%46C%20%47C%25%48C%25%49C%21%50[H].[H]7.[H]9.[H]%11.[H]%36.[H]3.[H]%15.[H]6.[H]%18.[H]%38.[H]4.[H]%37.[H]%16.[H]%17.[H]2.[H]%10.[H]%22.[H]%39.[H]%19.[H]%40.[H]%23.[H]%43.[H]%12.[H]%31.[H]%41.[H]%13.[H]%44.[H]%42.[H]1.[H]%14.[H]5.[H]%45.[H]8.[H]%46.[H]%50.[H]%25.[H]%49.[H]%20.[H]%47.[H]%48.[H]%24.[H]%30.[H]%26.[H]%27.[H]%29.[H]%28.[H]%32.[H]%33.[H]%35.[H]%34,11535162,"InChI=1S/C47H62N2O10/c1-29(16-19-41(52)48-34-12-8-6-9-13-34)36-17-18-37-42-38(27-40(45(36,37)5)55-31(3)51)44(4)24-25-47(28-33(44)26-39(42)54-30(2)50)58-56-46(57-59-47)22-20-32(21-23-46)43(53)49-35-14-10-7-11-15-35/h6-15,29,32-33,36-40,42H,16-28H2,1-5H3,(H,48,52)(H,49,53)/t29-,32?,33-,36-,37+,38+,39-,40+,42+,44+,45-,46?,47?/m1/s1",ASQDPWRWIJWAFR-CBKGSJONSA-N,,120.0,1
[Cl]C1=NC=2N3N=C4N=2.[F]C25[F].[F]2.[F]C2=C6C1=C3N1C53C57[H].[F]C6=C6C=8OC9%10C%11%12C%13%14N%15C%16%17[H].C2=8[H].[H]3.[H]1.[H]5.[H]7.[H]%11.[H]%12.[H]9.[H]%10.[H]6.[H]%13.[H]%14.[H]4.[H]%15.[H]%16.[H]%17.[Cl][H],16103018,"InChI=1S/C18H18ClF5N6O.ClH/c1-9(18(22,23)24)28-16-14(15(19)29-17-26-8-27-30(16)17)13-11(20)6-10(7-12(13)21)31-5-3-4-25-2;/h6-9,25,28H,3-5H2,1-2H3;1H/t9-;/m0./s1",HAFUDZOLFLXVIY-FVGYRXGTSA-N,,433.0,1
[Cl]C1=C2C3=O.[Cl]C4=C2[H].N=2C=5C=6C7=C8C=2[H].C=62C6=C9C=5[H].C85=C3[H].C13=C4[H].[H]7.[H]2.[H]5.[H]6.[H]9.[H]3,44419469,InChI=1S/C18H11Cl2NO/c19-14-6-7-16(20)15(10-14)18(22)8-5-12-9-13-3-1-2-4-17(13)21-11-12/h1-11H/b8-5+,BGHOTGMQVPEHPC-VMPITWQZSA-N,,24.6,0
[F]C=1C2=C3C4=O.O5C=1C1=C3[H].N=3C=6C=7C=8C9=C4[H].C=74C7=C%10C=6[H].C=86C=3[H].C538[H].[H]4.[H]9.[H]6.[H]7.[H]%10.[H]2.[H]1.[H]3.[H]8,44419417,"InChI=1S/C19H14FNO2/c1-23-19-9-7-14(12-16(19)20)18(22)8-6-13-10-11-21-17-5-3-2-4-15(13)17/h2-12H,1H3/b8-6+",PIOREZGXXVALHL-SOFGYWHQSA-N,,30.6,0
O1C=2C3=C4C5=O.O6C=2C2=C4[H].N=4C=7C=8C=9C%10=C5[H].C=85C8=C%11C=7[H].C=97C=4[H].C149[H].C61%12[H].[H]%10.[H]5.[H]7.[H]3.[H]8.[H]2.[H]%11.[H]4.[H]9.[H]1.[H]%12,19561091,"InChI=1S/C20H17NO3/c1-23-19-10-8-15(13-20(19)24-2)18(22)9-7-14-11-12-21-17-6-4-3-5-16(14)17/h3-13H,1-2H3/b9-7+",CTRMPTDLHDNYPK-VQHVLOKHSA-N,,15.6,0
O1C23C45C67C89C%10%11C%12%13C%14%15C%16%17C8%18OC8=O.O%19OC%20%21OOC%19%22C%14%19[H].O=C1C1%14[H].O=C%23N%24C%25%26C%27%28N%29C%30%31[H].C4%32%33C4%34C6%35[H].C2%106[H].C%122%10C%22%12[H].C5%22%36[H].C%325%37C%32%38C%23%39[H].C%13%23%40[H].C5%13%41[H].C85%42[H].C%208%43C%20%44C%45%46C%47%48C%21%49[H].C%29%21%50[H].[H]7.[H]9.[H]%11.[H]%33.[H]3.[H]%15.[H]6.[H]%18.[H]%35.[H]4.[H]%34.[H]%16.[H]%17.[H]2.[H]%10.[H]%22.[H]%36.[H]%19.[H]%37.[H]%23.[H]%40.[H]%12.[H]%32.[H]%38.[H]%13.[H]%41.[H]%39.[H]1.[H]%14.[H]5.[H]%42.[H]%49.[H]8.[H]%43.[H]%20.[H]%44.[H]%47.[H]%48.[H]%45.[H]%46.[H]%24.[H]%25.[H]%26.[H]%27.[H]%28.[H]%21.[H]%30.[H]%50.[H]%31,23631808,"InChI=1S/C38H62N2O9/c1-24(11-14-33(43)39-19-20-40(6)7)28-12-13-29-34-30(22-32(36(28,29)5)45-26(3)42)35(4)17-18-38(23-27(35)21-31(34)44-25(2)41)48-46-37(47-49-38)15-9-8-10-16-37/h24,27-32,34H,8-23H2,1-7H3,(H,39,43)/t24-,27-,28-,29+,30+,31-,32+,34+,35+,36-/m1/s1",ONINQKZLQSPUGV-CEAZGKQPSA-N,,40.0,0
O1C23C45C67C89C%10%11C%12%13C%14%15C%16%17C8%18OC8=O.O%19OC%20%21OOC%19%22C%14%19[H].O=C1C1%14[H].O=C%23N%24C%25%26C%27%28N%29C%30%31[H].C4%32%33C4%34C6%35[H].C2%106[H].C%122%10C%22%12[H].C5%22%36[H].C%325%37C%32%38C%23%39[H].C%13%23%40[H].C5%13%41[H].C85%42[H].C%208%43C%20%44C%45%46C%47%48C%21%49[H].C%45%21%50[H].C%29%45%51[H].[H]7.[H]9.[H]%11.[H]%33.[H]3.[H]%15.[H]6.[H]%18.[H]%35.[H]4.[H]%34.[H]%16.[H]%17.[H]2.[H]%10.[H]%22.[H]%36.[H]%19.[H]%37.[H]%23.[H]%40.[H]%12.[H]%32.[H]%38.[H]%13.[H]%41.[H]%39.[H]1.[H]%14.[H]5.[H]%42.[H]%49.[H]8.[H]%43.[H]%20.[H]%44.[H]%47.[H]%48.[H]%46.[H]%24.[H]%21.[H]%50.[H]%25.[H]%26.[H]%27.[H]%28.[H]%45.[H]%30.[H]%51.[H]%31,23631549,"InChI=1S/C39H64N2O9/c1-24-13-15-38(16-14-24)47-49-39(50-48-38)18-17-36(5)28(23-39)21-32(45-26(3)42)35-30-11-10-29(25(2)9-12-34(44)40-19-20-41(7)8)37(30,6)33(22-31(35)36)46-27(4)43/h24-25,28-33,35H,9-23H2,1-8H3,(H,40,44)/t24?,25-,28-,29-,30+,31+,32-,33+,35+,36+,37-,38?,39?/m1/s1",BXXUZQFPCCQGDX-FLGZJGKZSA-N,,77.0,1
